grammar-name	direct-children	direct-parents
full-join	ws0e	table-operator
function-arg	identifier|kind-annotation	function-define|function-out-arg|function-out-args
function-call	argument-list|identifier	factor
function-define	function-arg|function-define-match-arms|function-define-statements|identifier|left-parenthesis|list-separator|right-parenthesis|whitespace0	mech-code-alt
function-define-match-arms	function-match-arm|kind-annotation|output-operator|period|statement-separator|whitespace0|whitespace1	function-define
function-define-statements	define-operator|equal|function-out-arg|function-out-args|period|statement|statement-separator|whitespace0|whitespace1	function-define
function-match-arm	bar|box-bl|box-t-left|expression|output-operator|pattern|statement-separator|whitespace0|whitespace1	function-define-match-arms
function-out-arg	function-arg	function-define-statements
function-out-args	function-arg|left-parenthesis|list-separator|right-parenthesis	function-define-statements
gen-operator	whitespace0	none
generator	expression|generator-arrow|generator-arrow-u|pattern|space-tab0	comprehension-qualifier
generator-arrow	whitespace0	generator|less-than
generator-arrow-u	whitespace0	generator
grammar	grammar-rule|new-line	parse-grammar
grammar-definition	grammar-identifier	grammar-factor
grammar-expression	bar|grammar-term	grammar-group|grammar-rule
grammar-factor	grammar-definition|grammar-group|grammar-list|grammar-not|grammar-optional|grammar-peek|grammar-range|grammar-repeat0|grammar-repeat1|grammar-terminal	grammar-list|grammar-not|grammar-optional|grammar-peek|grammar-repeat0|grammar-repeat1|grammar-term
grammar-group	grammar-expression|left-parenthesis|right-parenthesis	grammar-factor
grammar-identifier	alpha-token|dash|digit-token	grammar-definition|grammar-rule
grammar-list	comma|grammar-factor|left-bracket|right-bracket	grammar-factor
grammar-not	grammar-factor|negate	grammar-factor
grammar-optional	grammar-factor|question	grammar-factor
grammar-peek	grammar-factor|right-angle	grammar-factor
grammar-range	grammar-terminal-token|period	grammar-factor
grammar-repeat0	asterisk|grammar-factor	grammar-factor
grammar-repeat1	grammar-factor|plus	grammar-factor
grammar-rule	define-operator|grammar-expression|grammar-identifier|semicolon	grammar
grammar-term	comma|grammar-factor	grammar-expression
grammar-terminal	grammar-terminal-token	grammar-factor
grammar-terminal-token	any-token|quote	grammar-range|grammar-terminal
grave	none	enum-variant|inline-code|paragraph-text|pattern-tuple-struct|symbol
grave-codeblock-sigil	none	codeblock-sigil|inline-code
greater-than	right-angle1|ws0e	comparison-operator
greater-than-equal	ws0e	comparison-operator
grouping-symbol	left-angle|left-brace|left-bracket|left-parenthesis|right-angle|right-brace|right-bracket|right-parenthesis	raw-text|text
guard-operator	bar|box-bl|box-t-left|box-vert|whitespace0	activation-arm|fsm-guard|fsm-state-definition|match-arm
hashtag	none	fsm|fsm-implementation|fsm-instance|fsm-specification|identifier-symbol|step-rpl|symbol
header-field	identifier|kind-annotation	inline-table-header|table-header
help-rpl	none	parse-repl-command
hexadecimal-literal	alpha-token|digit-token|underscore	real-number|untyped-real-number
highlight	highlight-sigil|paragraph-element	paragraph-element
highlight-sigil	none	highlight|paragraph-text
http-prefix	none	paragraph-text|raw-hyperlink
hyperlink	inline-paragraph|left-bracket|left-parenthesis|right-bracket|right-parenthesis|text	paragraph-element
idea-block	idea-sigil|paragraph-newline|space-tab0	not-mech-code|section-element
idea-sigil	none	idea-block|paragraph
identifier	alpha-token|digit-token|emoji|identifier-symbol	atom|binding|call-arg-with-binding|context-base-context|context-capability-declaration|context-declaration|dot-subscript|enum-define|enum-variant|export-declaration|field|fsm|fsm-implementation|fsm-instance|fsm-specification|function-arg|function-call|function-define|header-field|invariant-define|kind-atom|kind-define|kind-record|kind-scalar|kind-table|option-mapping|option-value|pattern-atom-struct|pattern-tuple-struct|slice|slice-ref|swizzle-subscript|title-front-matter|tuple-destructure|tuple-struct|typed-integer|var
identifier-path-segment	alpha-token|dash|digit-token|identifier-path-segment-emoji	module-import-alias-segment|module-import-name-segment|module-root|prefixed-context-path
identifier-path-segment-emoji	asterisk|colon|comma|emoji|equal|left-brace|new-line|right-brace|slash|space|tab|underscore	identifier-path-segment
identifier-symbol	ampersand|asterisk|backslash|caret|dash|dollar|hashtag|percent|plus|slash|tilde	identifier
img	img-prefix|inline-paragraph|left-parenthesis|option-map|right-bracket|right-parenthesis|text	figure-item|not-mech-code|section-element|title-front-matter
img-prefix	none	img|paragraph-text
import-alias-operator	colon|equal|space-tab0	aliased-item-import
import-declaration	import-sigil|source-import-specifier|space-tab1|whitespace0	statement
import-group-item	module-import-path	import-group-items
import-group-items	import-group-item|import-group-separator|whitespace0	module-suffix-import
import-group-separator	list-separator|whitespace1	import-group-items
import-sigil	none	import-declaration|module-import
info-block	info-sigil|paragraph-newline|space-tab0	not-mech-code|section-element
info-sigil	none	info-block|subtitle
inline-code	grave|grave-codeblock-sigil|text	paragraph-element
inline-equation	backslash|equation-sigil|text	paragraph-element
inline-mech-code	left-brace|mech-code-alt|right-brace|whitespace0	paragraph-element
inline-paragraph	new-line|paragraph-element	hyperlink|img|mechdown-table-header|mechdown-table-row|title-front-matter
inline-table	inline-table-header|inline-table-row|space-tab0|table-separator	table
inline-table-header	header-field|space-tab0|space-tab1|table-separator	inline-table
inline-table-row	expression|space-tab0|table-separator	inline-table
integer-literal	typed-integer|untyped-integer	dot-subscript-int|rational-literal|real-number|scientific-literal
intersection	ws0e	set-operator
invariant-define	assign-operator|define-operator|exclamation|expression|identifier	statement
join	ws0e	table-operator
kind	kind-any|kind-atom|kind-empty|kind-kind|kind-map|kind-matrix|kind-record|kind-scalar|kind-set|kind-table|kind-tuple	kind-map|kind-set|kind-tuple|kind-with-option
kind-annotation	kind-with-option|left-angle|right-angle	binding|enum-variant-inline-kind|enum-variant-kind|field|fsm|fsm-specification|function-arg|function-define-match-arms|header-field|kind-define|kind-record|kind-table|literal|var
kind-any	asterisk	kind
kind-atom	colon|identifier	kind
kind-define	define-operator|identifier|kind-annotation|left-angle|right-angle	statement
kind-empty	underscore	kind
kind-kind	kind-with-option|left-angle|right-angle	kind
kind-map	colon|kind|left-brace|right-brace	kind
kind-matrix	colon|kind-with-option|left-bracket|list-separator|literal|right-bracket	kind
kind-record	identifier|kind-annotation|left-brace|list-separator|right-brace|whitespace0|whitespace1	kind
kind-scalar	colon|identifier|range-expression	kind
